#id: 4249701353
#name: Homo sapiens - Cell line, Lncap (Geiger,mcp,2012)
#score: 16.1
#description: abundance based on MAPPED_BY_AUTHORS, LnCap, Interaction consistency score: 16.1, Coverage: 51
#organ: CELL_LINE
#integrated: false
#coverage: 51
#link: http://www.mcponline.org/cgi/doi/10.1074/mcp.M111.014050
#publication_year: 2012
#filename: 9606-iBAQ_LnCap_Geiger_2012_uniprot.txt
#
#string_external_id	abundance
9606.ENSP00000410059	494
9606.ENSP00000266732	435
9606.ENSP00000419425	433
9606.ENSP00000352438	416
9606.ENSP00000423563	412
9606.ENSP00000365439	401
9606.ENSP00000369757	397
9606.ENSP00000361777	397
9606.ENSP00000264932	392
9606.ENSP00000234590	387
9606.ENSP00000335304	386
9606.ENSP00000221418	386
9606.ENSP00000216780	383
9606.ENSP00000320866	383
9606.ENSP00000378119	383
9606.ENSP00000396937	380
9606.ENSP00000388293	379
9606.ENSP00000347005	377
9606.ENSP00000371152	376
9606.ENSP00000367050	374
9606.ENSP00000477538	370
9606.ENSP00000340466	370
9606.ENSP00000360609	369
9606.ENSP00000406162	368
9606.ENSP00000356354	367
9606.ENSP00000222572	360
9606.ENSP00000295640	357
9606.ENSP00000358089	353
9606.ENSP00000217121	353
9606.ENSP00000320171	352
9606.ENSP00000348380	349
9606.ENSP00000377298	349
9606.ENSP00000381237	347
9606.ENSP00000373918	347
9606.ENSP00000350199	339
9606.ENSP00000243253	339
9606.ENSP00000228251	335
9606.ENSP00000293217	331
9606.ENSP00000317379	331
9606.ENSP00000387262	329
9606.ENSP00000404121	326
9606.ENSP00000335153	324
9606.ENSP00000376309	323
9606.ENSP00000348596	323
9606.ENSP00000229795	319
9606.ENSP00000274364	318
9606.ENSP00000293831	318
9606.ENSP00000382595	317
9606.ENSP00000242351	315
9606.ENSP00000250244	315
9606.ENSP00000263245	313
9606.ENSP00000361824	313
9606.ENSP00000435210	312
9606.ENSP00000410769	311
9606.ENSP00000302886	311
9606.ENSP00000262013	309
9606.ENSP00000337168	309
9606.ENSP00000345445	306
9606.ENSP00000384015	305
9606.ENSP00000380489	304
9606.ENSP00000411825	304
9606.ENSP00000357555	301
9606.ENSP00000358635	301
9606.ENSP00000375857	299
9606.ENSP00000216605	298
9606.ENSP00000357283	296
9606.ENSP00000378769	296
9606.ENSP00000319713	294
9606.ENSP00000441065	293
9606.ENSP00000400175	292
9606.ENSP00000280772	291
9606.ENSP00000234454	291
9606.ENSP00000363745	290
9606.ENSP00000366604	289
9606.ENSP00000339063	289
9606.ENSP00000369703	288
9606.ENSP00000398722	288
9606.ENSP00000272067	288
9606.ENSP00000239940	286
9606.ENSP00000221957	285
9606.ENSP00000449428	284
9606.ENSP00000370376	284
9606.ENSP00000379156	283
9606.ENSP00000414982	282
9606.ENSP00000420213	282
9606.ENSP00000416255	281
9606.ENSP00000357459	281
9606.ENSP00000265371	280
9606.ENSP00000347924	280
9606.ENSP00000350018	278
9606.ENSP00000477639	276
9606.ENSP00000387911	274
9606.ENSP00000301396	274
9606.ENSP00000464087	273
9606.ENSP00000351132	272
9606.ENSP00000258821	272
9606.ENSP00000452871	271
9606.ENSP00000386896	270
9606.ENSP00000261776	268
9606.ENSP00000313851	268
9606.ENSP00000312734	268
9606.ENSP00000282486	267
9606.ENSP00000391481	266
9606.ENSP00000370223	265
9606.ENSP00000356425	265
